Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
Provider Name,County,State,Ownership Type
DENALI CENTER,Fairbanks North Star,AK,Non profit
EXTENDICARE HEALTH CENTER,Houston,AL,For profit
PLANTATION MANOR NURSING HOME,Jefferson,AL,For profit
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Lee,AL,For profit
MARION REGIONAL NURSING HOME,Marion,AL,Non profit
CROWNE HEALTH CARE OF MOBILE,Mobile,AL,For profit
LYNWOOD NURSING HOME,Mobile,AL,For profit
TROY HEALTH & REHABILITATION CENTER,Pike,AL,For profit
"APPLE CREEK HEALTH AND REHAB, LLC",Benton,AR,For profit
WILLOWBEND HEALTHCARE AND REHABILITATION,Crittenden,AR,For profit
CONWAY HEALTHCARE AND REHABILITATION CENTER,Faulkner,AR,Non profit
"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Faulkner,AR,For profit
GREENE ACRES NURSING HOME,Greene,AR,Non profit
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,Jefferson,AR,Non profit
"THE WATERS OF WHITE HALL, LLC",Jefferson,AR,For profit
WALNUT RIDGE NURSING AND REHABILITATION CENTER,Lawrence,AR,For profit
NEWTON COUNTY NURSING HOME,Newton,AR,Non profit
THREE RIVERS HEALTHCARE AND REHABILITATION,Poinsett,AR,For profit
"LEGACY HEIGHTS NURSING AND REHAB, LLC",Pope,AR,For profit
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",Pulaski,AR,For profit
THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,Pulaski,AR,For profit
OZARK HEALTH NURSING AND REHAB  CENTER,Van Buren,AR,Non profit
SANTA RITA NURSING & REHABILITATION CENTER,Pima,AZ,For profit
"SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",Pima,AZ,For profit
DRIFTWOOD HEALTHCARE CENTER - HAYWARD,Alameda,CA,For profit
EAST BAY POST-ACUTE,Alameda,CA,For profit
EXCELL HEALTH CARE CENTER,Alameda,CA,For profit
GARFIELD NEUROBEHAVIORAL CENTER,Alameda,CA,For profit
GATEWAY CARE & REHABILITATION CENTER,Alameda,CA,For profit
KAISER PERMANENTE POST-ACUTE CARE CENTER,Alameda,CA,Non profit
MERCY RETIREMENT & CARE CENTER,Alameda,CA,Non profit
PARKVIEW HEALTHCARE CENTER,Alameda,CA,For profit
"REDWOOD CONVALESCENT HOSPITAL, INC",Alameda,CA,For profit
REDWOOD HEALTHCARE CENTER LLC,Alameda,CA,For profit
SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit
WASHINGTON CENTER,Alameda,CA,For profit
WINDSOR HEALTHCARE CENTER OF OAKLAND,Alameda,CA,For profit
WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,Alameda,CA,For profit
"ORINDA CARE CENTER, LLC",Contra Costa,CA,For profit
THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,Fresno,CA,Non profit
SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,Kern,CA,For profit
THE ORCHARDS POST-ACUTE,Kern,CA,For profit
AFFINITY HEALTHCARE CENTER,Los Angeles,CA,For profit
ALAMEDA CARE CENTER,Los Angeles,CA,For profit
ALAMITOS BELMONT REHAB HOSPITA,Los Angeles,CA,For profit
ALCOTT REHABILITATION HOSPITAL,Los Angeles,CA,For profit
