Provider_Name,County,State,Ownership Type,Federal Provider Number
DENALI CENTER,Fairbanks North Star,AK,Non profit,025020
EXTENDICARE HEALTH CENTER,Houston,AL,For profit,015152
PLANTATION MANOR NURSING HOME,Jefferson,AL,For profit,015015
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit,015321
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Lee,AL,For profit,015192
MARION REGIONAL NURSING HOME,Marion,AL,Non profit,015167
CROWNE HEALTH CARE OF MOBILE,Mobile,AL,For profit,015100
LYNWOOD NURSING HOME,Mobile,AL,For profit,015434
TROY HEALTH & REHABILITATION CENTER,Pike,AL,For profit,015213
"APPLE CREEK HEALTH AND REHAB, LLC",Benton,AR,For profit,045465
ROGERS HEALTH AND REHABILITATION CENTER,Benton,AR,For profit,045070
TWIN RIVERS HEALTH AND REHABILITATION,Clark,AR,For profit,045216
RECTOR NURSING AND REHAB,Clay,AR,For profit,045394
SUMMIT HEALTH & REHAB CENTER,Columbia,AR,For profit,045411
COMMUNITY COMPASSION CENTER OF JONESBORO,Craighead,AR,Non profit,045134
COMMUNITY COMPASSION CENTER OF WEST MEMPHIS,Crittenden,AR,Non profit,045195
WEST MEMPHIS HEALTH AND REHAB,Crittenden,AR,For profit,045217
WILLOWBEND HEALTHCARE AND REHABILITATION,Crittenden,AR,For profit,045412
"CRESTPARK WYNNE, LLC",Cross,AR,For profit,045166
SOMERSET SENIOR LIVING AT MCGEHEE,Desha,AR,For profit,045139
BELLE VIEW ESTATES REHABILITATION AND CARE CENTER,Drew,AR,Non profit,045239
CONWAY HEALTHCARE AND REHABILITATION CENTER,Faulkner,AR,Non profit,045245
"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Faulkner,AR,For profit,045183
SOUTHFORK RIVER THERAPY AND LIVING,Fulton,AR,For profit,045248
THE PINES NURSING AND REHABILITATION CENTER,Garland,AR,For profit,045243
GREENE ACRES NURSING HOME,Greene,AR,Non profit,045424
THE GREEN HOUSE COTTAGES OF BELLE MEADE,Greene,AR,Non profit,045170
COMMUNITY COMPASSION CENTER OF BATESVILLE,Independence,AR,Non profit,045203
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,Jefferson,AR,Non profit,045379
"THE WATERS OF WHITE HALL, LLC",Jefferson,AR,For profit,045372
WALNUT RIDGE NURSING AND REHABILITATION CENTER,Lawrence,AR,For profit,045151
GARDNER NURSING AND REHABILITATION,Lincoln,AR,For profit,045269
SPRING CREEK HEALTH & REHAB,Lonoke,AR,For profit,045392
MEADOWVIEW HEALTHCARE AND REHAB,Madison,AR,Non profit,045341
HARRIS HEALTH AND REHAB,Mississippi,AR,For profit,045440
NEWTON COUNTY NURSING HOME,Newton,AR,Non profit,04E090
THREE RIVERS HEALTHCARE AND REHABILITATION,Poinsett,AR,For profit,045391
"LEGACY HEIGHTS NURSING AND REHAB, LLC",Pope,AR,For profit,045410
ALLAY HEALTH AND REHAB,Pulaski,AR,For profit,045288
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",Pulaski,AR,For profit,045387
ENCORE HEALTHCARE AND REHABILITATION OF WEST LITTL,Pulaski,AR,For profit,045390
ROBINSON NURSING AND REHABILITATION CENTER LLC,Pulaski,AR,For profit,045374
THE GREEN HOUSE COTTAGES OF POPLAR GROVE,Pulaski,AR,For profit,045466
THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,Pulaski,AR,For profit,045422
THE VILLAGE AT VALLEY RANCH,Pulaski,AR,For profit,045431
RANDOLPH COUNTY NURSING HOME,Randolph,AR,Government,045443
ASH FLAT HEALTHCARE AND REHABILITATION CENTER,Sharp,AR,For profit,045155
"CRESTPARK FORREST CITY, LLC",St. Francis,AR,For profit,045219
INDIAN ROCK VILLAGE HEALTH CENTER,Van Buren,AR,For profit,045153
OZARK HEALTH NURSING AND REHAB  CENTER,Van Buren,AR,Non profit,045414
SANTA RITA NURSING & REHABILITATION CENTER,Pima,AZ,For profit,035073
"SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",Pima,AZ,For profit,035099
BAYWOOD COURT HEALTH CENTER,Alameda,CA,Non profit,555855
DRIFTWOOD HEALTHCARE CENTER - HAYWARD,Alameda,CA,For profit,555533
EAST BAY POST-ACUTE,Alameda,CA,For profit,055239
EXCELL HEALTH CARE CENTER,Alameda,CA,For profit,056170
FREMONT HEALTHCARE CENTER,Alameda,CA,For profit,056422
GARFIELD NEUROBEHAVIORAL CENTER,Alameda,CA,For profit,05A396
GATEWAY CARE & REHABILITATION CENTER,Alameda,CA,For profit,056463
HILLSIDE SENIOR CARE,Alameda,CA,For profit,055562
KAISER PERMANENTE POST-ACUTE CARE CENTER,Alameda,CA,Non profit,555779
MERCY RETIREMENT & CARE CENTER,Alameda,CA,Non profit,555189
PARKVIEW HEALTHCARE CENTER,Alameda,CA,For profit,056052
"REDWOOD CONVALESCENT HOSPITAL, INC",Alameda,CA,For profit,555341
REDWOOD HEALTHCARE CENTER LLC,Alameda,CA,For profit,555499
SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit,056345
WASHINGTON CENTER,Alameda,CA,For profit,056121
WINDSOR HEALTHCARE CENTER OF OAKLAND,Alameda,CA,For profit,056280
WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,Alameda,CA,For profit,555398
"ORINDA CARE CENTER, LLC",Contra Costa,CA,For profit,055775
TAMPICO TERRACE CARE CENTER,Contra Costa,CA,For profit,056213
DYCORA TRANSITIONAL HEALTH MEMORY CARE OF FRESNO,Fresno,CA,For profit,056281
DYCORA TRANSITIONAL HEALTH-MANCHESTER,Fresno,CA,For profit,055996
NORTHPOINTE HEALTHCARE CENTRE,Fresno,CA,For profit,555179
THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,Fresno,CA,Non profit,055846
VETERANS HOME OF CALIFORNIA - FRESNO,Fresno,CA,Government,555900
"IMPERIAL HEIGHTS HEALTHCARE & WELLNESS CENTRE, LLC",Imperial,CA,For profit,555557
GOLDEN LIVINGCENTER - SHAFTER,Kern,CA,For profit,056035
"KINGSTON HEALTHCARE CENTER, LLC",Kern,CA,For profit,555336
ROSEWOOD HEALTH FACILITY,Kern,CA,Non profit,555116
SAN JOAQUIN NURSING CENTER AND REHABILITATION CENT,Kern,CA,For profit,056294
THE ORCHARDS POST-ACUTE,Kern,CA,For profit,555702
VALLEY CONVALESCENT HOSPITAL,Kern,CA,For profit,555229
AFFINITY HEALTHCARE CENTER,Los Angeles,CA,For profit,056166
ALAMEDA CARE CENTER,Los Angeles,CA,For profit,555690
ALAMITOS BELMONT REHAB HOSPITA,Los Angeles,CA,For profit,056125
ALCOTT REHABILITATION HOSPITAL,Los Angeles,CA,For profit,056293
ALDEN TERRACE CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056237
ALEXANDRIA CARE CENTER,Los Angeles,CA,For profit,056113
"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,055760
ALHAMBRA HOSPITAL MED CTR DP/SNF,Los Angeles,CA,For profit,555850
ANTELOPE VALLEY CARE CENTER,Los Angeles,CA,For profit,555456
ARARAT CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit,555126
ARARAT NURSING FACILITY,Los Angeles,CA,Non profit,555579
ARBOR GLEN CARE CENTER,Los Angeles,CA,For profit,056360
ASTORIA NURSING AND REHAB CENTER,Los Angeles,CA,For profit,056084
ATLANTIC MEMORIAL HEALTHCARE CENTER,Los Angeles,CA,For profit,055744
AUTUMN HILLS HEALTH CARE CENTER,Los Angeles,CA,For profit,055288
BALDWIN GARDENS NURSING CENTER,Los Angeles,CA,For profit,555055
BAY CREST CARE CENTER,Los Angeles,CA,For profit,055559
BEACHWOOD POST-ACUTE & REHAB,Los Angeles,CA,For profit,056334
BEACON HEALTHCARE CENTER,Los Angeles,CA,For profit,056331
BEL TOOREN VILLA CONVALESCENT,Los Angeles,CA,For profit,055918
BELL CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,056218
BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,Los Angeles,CA,For profit,056283
BONNIE BRAE CONVALESCENT HOSP,Los Angeles,CA,For profit,055538
BRENTWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit,055711
BRIARCREST NURSING CENTER,Los Angeles,CA,For profit,056220
BRIER OAK ON SUNSET,Los Angeles,CA,For profit,056056
BRIGHTON CARE CENTER,Los Angeles,CA,For profit,555338
BROADWAY BY THE SEA,Los Angeles,CA,For profit,055894
BROOKDALE NORTHRIDGE,Los Angeles,CA,For profit,555791
