Provider Name,County,State,Ownership Type,More than one infection-control deficiency
DENALI CENTER,Fairbanks North Star,AK,Non profit,YES
EXTENDICARE HEALTH CENTER,Houston,AL,For profit,
PLANTATION MANOR NURSING HOME,Jefferson,AL,For profit,
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Jefferson,AL,For profit,YES
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Lee,AL,For profit,YES
MARION REGIONAL NURSING HOME,Marion,AL,Non profit,YES
CROWNE HEALTH CARE OF MOBILE,Mobile,AL,For profit,
TROY HEALTH & REHABILITATION CENTER,Pike,AL,For profit,YES
"APPLE CREEK HEALTH AND REHAB, LLC",Benton,AR,For profit,
WILLOWBEND HEALTHCARE AND REHABILITATION,Crittenden,AR,For profit,
CONWAY HEALTHCARE AND REHABILITATION CENTER,Faulkner,AR,Non profit,YES
"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Faulkner,AR,For profit,YES
GREENE ACRES NURSING HOME,Greene,AR,Non profit,YES
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,Jefferson,AR,Non profit,
"THE WATERS OF WHITE HALL, LLC",Jefferson,AR,For profit,
WALNUT RIDGE NURSING AND REHABILITATION CENTER,Lawrence,AR,For profit,
NEWTON COUNTY NURSING HOME,Newton,AR,Non profit,
THREE RIVERS HEALTHCARE AND REHABILITATION,Poinsett,AR,For profit,
"LEGACY HEIGHTS NURSING AND REHAB, LLC",Pope,AR,For profit,YES
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",Pulaski,AR,For profit,YES
THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,Pulaski,AR,For profit,
OZARK HEALTH NURSING AND REHAB CENTER,Van Buren,AR,Non profit,
SANTA RITA NURSING & REHABILITATION CENTER,Pima,AZ,For profit,
"SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",Pima,AZ,For profit,
EAST BAY POST-ACUTE,Alameda,CA,For profit,
EXCELL HEALTH CARE CENTER,Alameda,CA,For profit,
GARFIELD NEUROBEHAVIORAL CENTER,Alameda,CA,For profit,
GATEWAY CARE & REHABILITATION CENTER,Alameda,CA,For profit,YES
MERCY RETIREMENT & CARE CENTER,Alameda,CA,Non profit,YES
"REDWOOD CONVALESCENT HOSPITAL, INC",Alameda,CA,For profit,YES
REDWOOD HEALTHCARE CENTER LLC,Alameda,CA,For profit,YES
SAN LEANDRO HEALTHCARE CENTER,Alameda,CA,For profit,YES
WASHINGTON CENTER,Alameda,CA,For profit,YES
"ORINDA CARE CENTER, LLC",Contra Costa,CA,For profit,
AFFINITY HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
ALAMEDA CARE CENTER,Los Angeles,CA,For profit,YES
ALCOTT REHABILITATION HOSPITAL,Los Angeles,CA,For profit,
ALDEN TERRACE CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,
ALEXANDRIA CARE CENTER,Los Angeles,CA,For profit,YES
"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,
ALHAMBRA HOSPITAL MED CTR DP/SNF,Los Angeles,CA,For profit,YES
ARARAT CONVALESCENT HOSPITAL,Los Angeles,CA,Non profit,
ASTORIA NURSING AND REHAB CENTER,Los Angeles,CA,For profit,YES
AUTUMN HILLS HEALTH CARE CENTER,Los Angeles,CA,For profit,
BAY CREST CARE CENTER,Los Angeles,CA,For profit,
BEACHWOOD POST-ACUTE & REHAB,Los Angeles,CA,For profit,YES
BEACON HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
BEL TOOREN VILLA CONVALESCENT,Los Angeles,CA,For profit,YES
BELL CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,YES
BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,Los Angeles,CA,For profit,YES
BONNIE BRAE CONVALESCENT HOSP,Los Angeles,CA,For profit,YES
BRIER OAK ON SUNSET,Los Angeles,CA,For profit,YES
BRIGHTON CARE CENTER,Los Angeles,CA,For profit,YES
BROADWAY BY THE SEA,Los Angeles,CA,For profit,YES
BROOKFIELD HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
BUENA VENTURA POST ACUTE CARE CENTER,Los Angeles,CA,For profit,
BURBANK HEALTHCARE & REHAB,Los Angeles,CA,For profit,YES
BURLINGTON CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,YES
CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,Los Angeles,CA,For profit,YES
CALIFORNIA POST-ACUTE CARE,Los Angeles,CA,For profit,YES
CAMELLIA GARDENS CARE CENTER,Los Angeles,CA,For profit,YES
CANYON OAKS NURSING AND REHABILITATION CENTER,Los Angeles,CA,For profit,YES
"CENTURY VILLA, INC",Los Angeles,CA,For profit,
COLLEGE VISTA CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,YES
COLONIAL CARE CENTER,Los Angeles,CA,For profit,YES
COLONIAL GARDENS NURSING HOME,Los Angeles,CA,For profit,YES
COUNTRY VILLA EAST NURSING CENTER,Los Angeles,CA,For profit,YES
COUNTRY VILLA LOS FELIZ NURSING CENTER,Los Angeles,CA,For profit,YES
COUNTRY VILLA NORTH,Los Angeles,CA,For profit,YES
COUNTRY VILLA PAVILION NURSING CENTER,Los Angeles,CA,For profit,YES
COUNTRY VILLA REHABILITATION CENTER,Los Angeles,CA,For profit,YES
COUNTRY VILLA SHERATON,Los Angeles,CA,For profit,YES
COUNTRY VILLA SOUTH CONV CTR,Los Angeles,CA,For profit,YES
COUNTRY VILLA WILSHIRE CONVALESCENT CENTER,Los Angeles,CA,For profit,
COURTYARD CARE CENTER,Los Angeles,CA,For profit,YES
COVINA REHABILITATION CENTER,Los Angeles,CA,For profit,
CULVER WEST HEALTH CENTER,Los Angeles,CA,For profit,
DEL RIO CONVALESCENT CENTER,Los Angeles,CA,For profit,
DEL RIO GARDENS CARE CENTER,Los Angeles,CA,For profit,YES
DRIFTWOOD HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
EISENBERG VILLAGE,Los Angeles,CA,Non profit,YES
EL RANCHO VISTA HEALTH CARE CENTER,Los Angeles,CA,For profit,
EMERALD TERRACE CONV HOSPITAL,Los Angeles,CA,For profit,
"FLOWER VILLA, INC",Los Angeles,CA,For profit,YES
FOOTHILL HEIGHTS CARE CENTER,Los Angeles,CA,For profit,YES
FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,Los Angeles,CA,For profit,YES
"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",Los Angeles,CA,For profit,
GARDEN CREST REHABILITATION CENTER,Los Angeles,CA,For profit,YES
GARDENA CONVALESCENT CENTER,Los Angeles,CA,For profit,YES
GEM TRANSITIONAL,Los Angeles,CA,For profit,YES
GLENDALE HEALTHCARE CENTER,Los Angeles,CA,For profit,
GLENDALE POST ACUTE CENTER,Los Angeles,CA,For profit,
GLENHAVEN HEALTHCARE,Los Angeles,CA,For profit,YES
GLENOAKS CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,YES
GOLDEN CROSS HEALTH CARE,Los Angeles,CA,For profit,YES
GRAND PARK CONVALESCENT HOSPITAL,Los Angeles,CA,For profit,YES
GREATER EL MONTE COMMUNITY HOS,Los Angeles,CA,For profit,YES
HARBOR POST ACUTE CARE CENTER,Los Angeles,CA,For profit,YES
"HAWTHORNE HEALTHCARE & WELLNESS CENTRE, LP",Los Angeles,CA,For profit,YES
HERITAGE REHABILITATION CENTER,Los Angeles,CA,For profit,YES
HIGH VALLEY LODGE,Los Angeles,CA,For profit,
HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER,Los Angeles,CA,For profit,
HOLIDAY MANOR CARE CENTER,Los Angeles,CA,For profit,YES
HOLLYWOOD PREMIER HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
HUNTINGTON HEALTHCARE CENTER,Los Angeles,CA,For profit,
HUNTINGTON POST ACUTE,Los Angeles,CA,For profit,YES
IMPERIAL CREST HEALTH CARE CENTER,Los Angeles,CA,For profit,YES
IMPERIAL HEALTHCARE CENTER,Los Angeles,CA,For profit,
INGLEWOOD HEALTH CARE CENTER,Los Angeles,CA,For profit,YES
JOYCE EISENBERG KEEFER MEDICAL CENTER D/P SNF,Los Angeles,CA,Non profit,YES
KEI-AI LOS ANGELES HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
KEI-AI SOUTH BAY HEALTHCARE CENTER,Los Angeles,CA,For profit,
KENNEDY POST ACUTE CARE CENTER,Los Angeles,CA,For profit,YES
KINGSLEY MANOR CARE CENTER,Los Angeles,CA,Non profit,YES
LA BREA REHABILITATION CENTER,Los Angeles,CA,For profit,YES
LA CRESCENTA HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
LA PAZ GEROPSYCHIATRIC CENTER,Los Angeles,CA,For profit,YES
LAWNDALE HEALTHCARE & WELLNESS CENTRE LLC,Los Angeles,CA,For profit,YES
LEISURE GLEN POST ACUTE CARE CENTER,Los Angeles,CA,For profit,YES
LIGHTHOUSE HEALTHCARE CENTER,Los Angeles,CA,For profit,YES
